name,street,houseNumber,postalCode,city,country,coordinats/0,coordinats/1
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Raciborska 40,40,44-362,Rogów,Poland,49.98859115,18.353422018264073
Parafia Rzymskokatolicka Świętego Michała Archanioła,Wyzwolenia 39,39,44-348,Skrzyszów,Poland,49.9490056,18.4971369
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Piotrowicka 45,45,44-341,Skrbeńsko,Poland,49.9078939,18.52594215
Parafia Rzymskokatolicka Matki Bożej Fatimskiej,Tysiąclecia 15,15,44-351,Turza Śląska,Poland,49.9689839,18.446702708292214
Parafia Rzymskokatolicka Narodzenia Najświętszej Maryi Panny,Reja 11,11,43-252,Golasowice,Poland,49.914870300000004,18.685412029486525
Parafia Rzymskokatolicka Świętego Michała Archanioła,Kościuszki 42,42,43-254,Krzyżowice,Poland,49.9878322,18.665582287509785
Parafia Rzymskokatolicka Świętej Katarzyny,Miarki 6,6,43-252,Pielgrzymowice,Poland,49.904932,18.664340534939477
Parafia Rzymskokatolicka Podwyższenia Krzyża Świętego,Szkolna 36A,36A,43-251,Pawłowice,Poland,49.96321935,18.706940498613918
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Jedności 14,14,43-245,Studzionka,Poland,49.96044025,18.772446436400987
Parafia Rzymskokatolicka Świętego Mikołaja,Pszczyńska 3,3,43-254,Warszowice,Poland,49.9926656,18.7137476
Parafia Rzymskokatolicka Świętego Jakuba Starszego Apostoła,Pawia 16,16,43-243,Wisła Mała,Poland,49.9347546,18.797480755949675
Parafia Rzymskokatolicka Świętych Jana i Pawła Męczenników,Chorzowska 160,160,40-101,Katowice,Poland,50.27006075,18.996506581460945
Parafia Rzymskokatolicka Świętego Józefa Robotnika,prof. Jana Mikusińskiego 8,8,40-146,Katowice,Poland,50.28056325,19.013655956926954
Parafia Rzymskokatolicka Podwyższenia Krzyża Świętego i Świętego Herberta,Norberta Barlickiego 2,2,40-820,Katowice,Poland,50.2594131,18.966277459556345
Parafia Rzymskokatolicka Matki Bożej Piekarskiej,Ułańska 13,13,40-887,Katowice,Poland,50.2848762,18.965636471458335
Parafia Rzymskokatolicka Podwyższenia Krzyża Świętego i Matki Bożej Uzdrowienia Chorych,Mieszka I 6,6,40-877,Katowice,Poland,50.27547385,18.971562529494385
Parafia Rzymskokatolicka Najświętszej Maryi Panny Wspomożenia Wiernych,al. Aleja Wojciecha Korfantego 121,121,40-156,Katowice,Poland,50.278148599999994,19.022547122357345
Parafia Rzymskokatolicka Świętego Józefa,Gliwicka 76,76,40-854,Katowice,Poland,50.263776449999995,19.000453630097084
Parafia Rzymskokatolicka Świętych Cyryla i Metodego,Feliksa Bocheńskiego 147,147,40-816,Katowice,Poland,50.25253165,18.980807917372562
Parafia Rzymskokatolicka Świętego Szczepana,Leopolda Markiefki 89,89,40-211,Katowice,Poland,50.2693247,19.038809175252382
Parafia Rzymskokatolicka Świętego Antoniego z Padwy,al. Al. Niepodległości 4,4,40-310,Katowice,Poland,50.2752507,19.06767454588926
Parafia Rzymskokatolicka Świętego Stanisława Kostki,Górniczego Stanu 22,22,40-469,Katowice,Poland,50.21852355,19.06481126483126
Parafia Rzymskokatolicka Świętej Barbary,Młodzieżowa 10,10,40-485,Katowice,Poland,50.22426575,19.064157350000002
Parafia Rzymskokatolicka Świętej Anny,Plac Wyzwolenia 21,21,40-423,Katowice,Poland,50.243271899999996,19.082813403389835
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Ludwika Solskiego 2,2,40-749,Katowice,Poland,50.19845765,19.047111113710002
Parafia Rzymskokatolicka Świętej Jadwigi Śląskiej,Plac Powstańców Śląskich 3,3,40-377,Katowice,Poland,50.26234765,19.095630851763676
Parafia Rzymskokatolicka Matki Bożej Nieustającej Pomocy,Siewna 25,25,40-339,Katowice,Poland,50.2695097,19.085534712078427
Parafia Rzymskokatolicka Świętego Jana Nepomucena,Karłowa 4,4,44-292,Rybnik,Poland,50.1359906,18.4796924
Parafia Rzymskokatolicka Chrystusa Króla,Komisji Edukacji Narodowej 15,15,44-200,Rybnik,Poland,50.1440853,18.5450965
Parafia Rzymskokatolicka Świętego Floriana,Dzikiej Róży 4,4,44-200,Rybnik,Poland,50.1181849,18.520050992209725
Parafia Rzymskokatolicka Matki Bożej Częstochowskiej,Milenijna 55,55,44-200,Rybnik,Poland,50.16695645,18.54923180784905
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Kuźnicka 10,10,44-207,Rybnik,Poland,50.1249622,18.5272857
Parafia Rzymskokatolicka Świętej Katarzyny i Matki Bożej Różańcowej,Górna 17B,17B,44-200,Rybnik,Poland,50.120247449999994,18.553733162680437
Parafia Rzymskokatolicka Matki Bożej Różańcowej,Rudzka 4,4,44-292,Zwonowice,Poland,50.1461754,18.4421591
Parafia Rzymskokatolicka Świętego Antoniego z Padwy,Mikołaja Kopernika 1,1,41-500,Chorzów,Poland,50.2931061,18.95356382111664
Parafia Rzymskokatolicka Ducha Świętego,gen. Henryka Dąbrowskiego 104,104,41-500,Chorzów,Poland,50.2866177,18.94221901825042
Parafia Rzymskokatolicka Jezusa Chrystusa Dobrego Pasterza,Skrajna 2a,2a,41-506,Chorzów,Poland,50.26535815,18.93801601832151
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Farna 3,3,41-506,Chorzów,Poland,50.27367555,18.938401814708406
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Długa 32,32,41-506,Chorzów,Poland,50.27642405,18.95160013307004
Parafia Rzymskokatolicka Świętego Franciszka z Asyżu,Franciszkańska 1,1,41-506,Chorzów,Poland,50.280874499999996,18.958822834337678
Parafia Rzymskokatolicka Świętych Apostołów Piotra i Pawła,Niepodległości 154,154,44-336,Jastrzębie-Zdrój,Poland,49.940253,18.646913139714
Parafia Rzymskokatolicka Najświętszej Maryi Panny Matki Sprawiedliwości i Miłości Społecznej,ks. Jana Twardowskiego 33,33,44-335,Jastrzębie-Zdrój,Poland,49.9627271,18.6148863
Parafia Rzymskokatolicka Świętej Katarzyny,św. Katarzyny 3,3,44-335,Jastrzębie-Zdrój,Poland,49.9590688,18.5960446
Parafia Rzymskokatolicka Najświętszej Maryi Panny Matki Kościoła,ks. Jerzego Popiełuszki 1A,1A,44-335,Jastrzębie-Zdrój,Poland,49.943374899999995,18.609063635686766
Parafia Rzymskokatolicka Miłosierdzia Bożego,Aleja Józefa Piłsudskiego 62,62,44-335,Jastrzębie-Zdrój,Poland,49.953510699999995,18.61329457474256
Parafia Rzymskokatolicka Świętego Brata Alberta,Wielkopolska 20A,20A,44-335,Jastrzębie-Zdrój,Poland,49.9449621,18.5943093
Parafia Rzymskokatolicka Matki Bożej Częstochowskiej,Szkolna 19,19,44-335,Jastrzębie-Zdrój,Poland,49.9502586,18.62019515532812
Parafia Rzymskokatolicka Wszystkich Świętych,Powstańców Śląskich 109A,109A,44-268,Jastrzębie-Zdrój,Poland,49.9894511,18.62540400082753
Parafia Rzymskokatolicka Trójcy Przenajświętszej,Śląska 15,15,41-403,Chełm Śląski,Poland,50.111114,19.199057
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Goławiecka 44a,44a,43-144,Lędziny,Poland,50.107074,19.1564426
Parafia Rzymskokatolicka Świętych Apostołów Piotra i Pawła,Lipowa 77,77,43-144,Lędziny,Poland,50.1023683,19.1375102
Parafia Rzymskokatolicka Chrystusa Króla,Janiny Lewandowskiej 42a,42a,43-143,Lędziny,Poland,50.1462522,19.1380556
Parafia Rzymskokatolicka Matki Bożej Szkaplerznej,Imielińska 89,89,41-407,Imielin,Poland,50.1456841,19.1868000954051
Parafia Rzymskokatolicka Świętej Anny,Kś. Pawła Kontnego 5,5,43-140,Lędziny,Poland,50.1279825,19.1042378
Parafia Rzymskokatolicka Świętego Klemensa,Czesława Miłosza 2,2,43-140,Lędziny,Poland,50.1214434,19.1108682
Parafia Rzymskokatolicka Matki Bożej Różańcowej,al. Al. Matki Boskiej Różańcowej 8,8,43-140,Lędziny,Poland,50.1362399,19.1216381
Parafia Rzymskokatolicka Świętych Apostołów Piotra i Pawła,ks. Franciszka Olmy 4,4,43-176,Gostyń,Poland,50.104442250000005,18.878503761994168
Parafia Rzymskokatolicka Świętego Maksymiliana Kolbego,Dojazdowa 32,32,43-180,Orzesze,Poland,50.1083174,18.7934789
Parafia Rzymskokatolicka Podwyższenia Krzyża Świętego,Rybnicka 175,175,43-176,Gostyń,Poland,50.10425235,18.864267099957402
Parafia Rzymskokatolicka Matki Bożej Królowej Różańca Świętego,Kościelna 4,4,43-170,Łaziska Górne,Poland,50.14679925,18.83823563917425
Parafia Rzymskokatolicka Męczeństwa Świętego Jana Chrzciciela,kard. Wyszyńskiego 12,12,43-173,Łaziska Górne,Poland,50.14058825,18.869511781277588
Parafia Rzymskokatolicka Niepokalanego Serca Najświętszej Maryi Panny,Mikołowska 23,23,43-173,Łaziska Górne,Poland,50.155367549999994,18.874519147440214
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,ks. Franciszka Bojdoła 3,3,43-175,Wyry,Poland,50.1311982,18.90068812412724
Parafia Rzymskokatolicka Świętego Antoniego,Kobiórska 6,6,43-180,Orzesze,Poland,50.0810496,18.8334739
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Wojciecha Korfantego 14,14,44-310,Radlin,Poland,50.0484867,18.477470955588046
Parafia Rzymskokatolicka Niepokalanego Serca Maryi,Józefa Rymera 200,200,44-310,Radlin,Poland,50.045593,18.44457834743976
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Wołodyjowskiego 5,5,44-200,Rybnik,Poland,50.0678647,18.496714253139775
Parafia Rzymskokatolicka Bożego Ciała i Świętej Barbary,ks. Piotra Skargi 46,46,44-273,Rybnik,Poland,50.0615577,18.4577513
Parafia Rzymskokatolicka Miłosierdzia Bożego,Zygmunta Starego 52,52,44-273,Rybnik,Poland,50.07233574999999,18.480470488602275
Parafia Rzymskokatolicka Trójcy Przenajświętszej,Stanisława Konarskiego 6A,6A,44-200,Rybnik,Poland,50.053138700000005,18.516772330276943
Parafia Rzymskokatolicka Świętego Jacka,Rydułtowy 6,6,44-280,Rydułtowy,Poland,50.0660734,18.43648165868546
Parafia Rzymskokatolicka Niepokalanego Poczęcia Najświętszej Maryi Panny,Franciszkańska 22,22,44-200,Rybnik,Poland,50.07988225,18.523389000565565
Parafia Rzymskokatolicka Matki Bożej Różańcowej,Górnośląska 129,129,44-200,Rybnik,Poland,50.0556124,18.4850186
Parafia Rzymskokatolicka Matki Bożej Szkaplerznej,Pokoju 1,1,43-200,Brzeźce,Poland,49.984472,18.832317138525966
Parafia Rzymskokatolicka Świętego Karola Boromeusza,Wyzwolenia 138,138,43-265,Kryry,Poland,50.0073225,18.8079744
Parafia Rzymskokatolicka Najświętszej Maryi Panny Królowej Polski,Kościelna 2,2,43-262,Kobielice,Poland,50.0129329,18.8588055
Parafia Rzymskokatolicka Imienia Maryi,Bartnicza 2,2,43-262,Radostowice,Poland,50.005594200000004,18.886331979991297
Parafia Rzymskokatolicka Świętego Maksymiliana Marii Kolbego,Szkolna 1,1,43-267,Rudziczka,Poland,50.03970965,18.751837344641466
Parafia Rzymskokatolicka Świętego Stanisława Biskupa i Męczennika,Św. Jana 55,55,43-267,Suszec,Poland,50.038379199999994,18.78803149674928
Parafia Rzymskokatolicka Świętej Katarzyny Aleksandryjskiej,Bielice 97,97,48-316,Bielice,Poland,52.2458315,19.1244608
Parafia Rzymskokatolicka Świętego Mikołaja,Krótka 10,10,49-100,Grabin,Poland,50.598335500000005,17.521306458815793
Parafia Rzymskokatolicka Świętych Apostołów Piotra i Pawła,Pakosławice 7,7,48-314,Pakosławice,Poland,50.5456478,17.3666491
Parafia Rzymskokatolicka Świętego Michała Archanioła,Szkolna 8,8,48-314,Prusinowice,Poland,50.5386667,17.4052456171497
Parafia Rzymskokatolicka Świętej Małgorzaty,Reńska Wieś 49,49,48-314,Reńska Wieś,Poland,50.3142539,18.1250284
Parafia Rzymskokatolicka Świętych Apostołów Piotra i Pawła,Radziechowska 25,25,48-320,Sidzina,Poland,50.5723824,17.4506375
Parafia Rzymskokatolicka Świętej Jadwigi,Braterstwa Broni 8,8,48-320,Skoroszyce,Poland,50.5954786,17.3781317
Parafia Rzymskokatolicka Podwyższenia Krzyża Świętego,Wierzbie 15,15,48-316,Wierzbie,Poland,50.2511643,19.545311191072095
Parafia Rzymskokatolicka Narodzenia Najświętszej Maryi Panny,Szkolna 2,2,48-317,Włodary,Poland,50.4664613,17.5004122
Parafia Rzymskokatolicka Świętej Marii Magdaleny,Tadeusza Zawadzkiego 32,32,48-316,Łambinowice,Poland,50.5389581,17.5547016
Parafia Rzymskokatolicka Świętego Jana Ewangelisty,Kamienna 1,1,48-300,Biała Nyska,Poland,50.4325368,17.3066666
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Kępnica,0,48-303,Kępnica,Poland,50.41674845,17.39360822286615
Parafia Rzymskokatolicka Świętego Dominika,Głowackiego 12,12,48-300,Nysa,Poland,50.47864250000001,17.32231214190916
Parafia Rzymskokatolicka Świętego Jakuba Apostoła i Świętej Agnieszki,Plac Katedralny 7,7,48-300,Nysa,Poland,50.4749251,17.3346225
Parafia Rzymskokatolicka Świętego Franciszka z Asyżu,Bramy Grodkowskiej 5,5,48-300,Nysa,Poland,50.4830614,17.33648532307754
Parafia Rzymskokatolicka Matki Boskiej Bolesnej,Marii Rodziewiczówny 3,3,48-300,Nysa,Poland,50.4600553,17.3308514
Parafia Rzymskokatolicka Świętych Apostołów Piotra i Pawła,Bracka 18,18,48-300,Nysa,Poland,50.472026150000005,17.331900550398345
Parafia Rzymskokatolicka Świętej Elżbiety Węgierskiej,al. Aleja Wojska Polskiego 31,31,48-300,Nysa,Poland,50.48368615,17.34754248843373
Parafia Rzymskokatolicka Świętego Jana Chrzciciela i Świętego Mikołaja,ks. Piotra Ściegiennego 5,5,48-300,Nysa,Poland,50.4558002,17.351080898358862
Parafia Rzymskokatolicka Świętego Mikołaja,Wierzbięcice 109,109,48-300,Wierzbięcice,Poland,52.3909255,16.9214042
Parafia Rzymskokatolicka Świętego Jana Chrzciciela,Solec 37,37,48-210,Solec,Poland,52.2277474,21.04141214102998
Parafia Rzymskokatolicka Nawiedzenia Najświętszej Maryi Panny,Świerczewskiego 24,24,48-220,Łącznik,Poland,50.447304,17.7343286
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,1 Maja 8,8,48-210,Biała,Poland,50.38640705,17.658765955348827
Parafia Rzymskokatolicka Matki Boskiej Szkaplerznej,Grabina 84,84,48-210,Grabina,Poland,51.7601962,18.7838682
Parafia Rzymskokatolicka Nawiedzenia Najświętszej Maryi Panny,Klasztorna 2,2,48-325,Ścinawa Mała,Poland,50.42004345,17.543627379091603
Parafia Rzymskokatolicka Świętego Karola Boromeusza,Chabrów 74,74,45-221,Opole,Poland,50.681473,17.93180317814045
Parafia Rzymskokatolicka Podwyższenia Krzyża Świętego,Katedralna 2,2,45-007,Opole,Poland,50.6698104,17.91999427245902
Parafia Rzymskokatolicka Świętych Apostołów Piotra i Pawła,Plac Adama Mickiewicza 1,1,45-001,Opole,Poland,50.6670773,17.9379167
Parafia Rzymskokatolicka Matki Boskiej Bolesnej i Świętego Wojciecha,Plac Mikołaja Kopernika 12,12,45-001,Opole,Poland,50.66907745,17.925425397841487
Parafia Rzymskokatolicka Przemienienia Pańskiego,Stefana Grota-Roweckiego 3,3,45-001,Opole,Poland,50.676153400000004,17.947034424283792
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Wiejska 101,101,45-001,Opole,Poland,50.6812254,17.958521276944968
Parafia Rzymskokatolicka Świętej Katarzyny Aleksandryjskiej,Księdza Jerzego Popiełuszki 13,13,45-001,Opole,Poland,50.6258948,17.9597747
Parafia Rzymskokatolicka Matki Boskiej Fatimskiej,Strzelecka 23,23,45-001,Opole,Poland,50.6458139,17.98377285116279
Parafia Rzymskokatolicka Świętego Jana Pawła II,Aleja Wincentego Witosa 40,40,45-401,Opole,Poland,50.68248405,17.974496950000002
Parafia Rzymskokatolicka Świętego Jacka,Tysiąclecia 11,11,45-001,Opole,Poland,50.66909185,17.979844664174877
Parafia Rzymskokatolicka Świętej Jadwigi Śląskiej,Leonida Teligi 81,81,45-001,Opole,Poland,50.6222087,17.997960937489545
Parafia Rzymskokatolicka Chrystusa Króla,Irydowa 23,23,45-001,Opole,Poland,50.60720845,17.973237420848157
Parafia Rzymskokatolicka Matki Boskiej Nieustającej Pomocy,Kościelny 2a,2a,45-555,Opole,Poland,50.649013,17.9476302
Parafia Rzymskokatolicka Świętego Jakuba Starszego Apostoła,Kościuszki 31,31,48-100,Debrzyca,Poland,50.214875,17.89516123019512
Parafia Rzymskokatolicka Ścięcia Świętego Jana Chrzciciela,Kościelna 2,2,48-100,Grobniki,Poland,50.1944776,17.8689128
Parafia Rzymskokatolicka Narodzenia Najświętszej Maryi Panny,Jana Pawła II 7,7,48-100,Głubczyce,Poland,50.2017936,17.828129068594947
Parafia Rzymskokatolicka Podwyższenia Krzyża Świętego,Kościelna 4,4,48-118,Lisięcice,Poland,50.262929400000004,17.876256868802514
Parafia Rzymskokatolicka Świętych Apostołów Piotra i Pawła,Równe 38,38,48-100,Równe,Poland,49.6191921,18.9562044
Parafia Rzymskokatolicka Świętych Apostołów Piotra i Pawła,Długa 80,80,48-145,Zubrzyce,Poland,50.13981475,17.779831546723635
Parafia Rzymskokatolicka Nawiedzenia Najświętszej Maryi Panny,Planetorza 53,53,47-253,Cisek,Poland,50.283359000000004,18.20178832302768
Parafia Rzymskokatolicka Świętego Zygmunta i Świętej Jadwigi Śląskiej,Złotnicza 12,12,47-200,Kędzierzyn-Koźle,Poland,50.3348658,18.145067184148026
Parafia Rzymskokatolicka Najświętszej Maryi Panny Królowej Świata,Krzysztofa Kamila Baczyńskiego 1,1,47-200,Kędzierzyn-Koźle,Poland,50.3521649,18.123673716463415
Parafia Rzymskokatolicka Świętego Jakuba Apostoła,Młyńska 13,13,47-214,Mechnica,Poland,50.39822095,18.061702662626818
Parafia Rzymskokatolicka Świętego Sebastiana,Szkolna 6,6,47-208,Pokrzywnica,Poland,50.33453205,18.06593834900817
Parafia Rzymskokatolicka Świętego Urbana,Raciborska 23,23,47-208,Reńska Wieś,Poland,50.3144596,18.1281678
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Opolska 48,48,47-341,Stradunia,Poland,50.4122445,18.04713396279824
Parafia Rzymskokatolicka Nawiedzenia Najświętszej Maryi Panny,Kościelna 5,5,47-208,Łężce,Poland,50.2925026,18.064189648590816
Parafia Rzymskokatolicka Świętych Apostołów Piotra i Pawła,Kościelna 2,2,46-073,Chróścina,Poland,50.6657074,17.814834340707897
Parafia Rzymskokatolicka Matki Boskiej Szkaplerznej,Opolska 32,32,46-060,Chrząszczyce,Poland,50.611794,17.8953144
Parafia Rzymskokatolicka Świętego Rocha,Krótka 2,2,47-300,Dąbrówka Górna,Poland,50.5369532,17.926763229815442
Parafia Rzymskokatolicka Niepokalanego Serca Najświętszej Maryi Panny,Cmentarna 12,12,46-070,Domecko,Poland,50.6126866,17.8679064
Parafia Rzymskokatolicka Świętego Franciszka z Asyżu,Niemodlińska 16,16,46-070,Komprachcice,Poland,50.6358753,17.8231616
Parafia Rzymskokatolicka Świętego Mikołaja,Szkolna 56,56,46-060,Ligota Prószkowska,Poland,50.5542179,17.8316285
Parafia Rzymskokatolicka Świętego Marcina,Myśliwska 10,10,46-070,Ochodze,Poland,50.6100073,17.807727328359196
Parafia Rzymskokatolicka Nawiedzenia Najświętszej Maryi Panny,Kościelna 1,1,46-070,Polska Nowa Wieś,Poland,50.6394724,17.795726160845582
Parafia Rzymskokatolicka Świętego Jerzego,Zawadzkiego 19,19,46-060,Prószków,Poland,50.579988349999994,17.870100161096936
Parafia Rzymskokatolicka Świętych Apostołów Filipa i Jakuba,Kościuszki 8,8,47-300,Rogów Opolski,Poland,50.5130984,17.9420987
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Nowowiejska 26,26,46-070,Wawelno,Poland,50.65449055,17.764272178029948
Parafia Rzymskokatolicka Świętego Jana Chrzciciela,Opolska 37,37,46-060,Zimnice Wielkie,Poland,50.55774585,17.93522206327892
Parafia Rzymskokatolicka Świętego Szczepana,Powstańców Śląskich 50,50,46-024,Brynica,Poland,50.8044653,17.9390441
Parafia Rzymskokatolicka Świętej Jadwigi,Powstańców Śląskich 5,5,46-080,Chróścice,Poland,50.78231775,17.80700477778609
Parafia Rzymskokatolicka Bożego Ciała i Świętego Norberta,Plac Klasztorny 3,3,45-920,Opole,Poland,50.7205681,17.8999018
Parafia Rzymskokatolicka Świętej Katarzyny Aleksandryjskiej,Opolska 4,4,46-081,Dobrzeń Wielki,Poland,50.7593957,17.8431665
Parafia Rzymskokatolicka Świętego Jerzego,1 Maja 3,3,46-082,Kup,Poland,50.8088513,17.88081079059991
Parafia Rzymskokatolicka Świętego Antoniego,Kościelna 4,4,46-022,Luboszyce,Poland,50.7267301,17.9560902
Parafia Rzymskokatolicka Najświętszej Maryi Panny Królowej Aniołów,Kościuszki 10,10,46-090,Popielów,Poland,50.8239668,17.739206061259853
Parafia Rzymskokatolicka Świętego Michała Archanioła,Michała 1,1,46-083,Stare Siołkowice,Poland,50.8015863,17.766186252944085
Parafia Rzymskokatolicka Świętego Floriana,Luboszycka 7,7,46-045,Zawada,Poland,50.714442899999995,17.991518739456513
Parafia Rzymskokatolicka Świętych Apostołów Piotra i Pawła,Opolska 86,86,46-024,Łubniany,Poland,50.77894275,17.99769999305566
Parafia Rzymskokatolicka Świętej Marii Magdaleny,Plac Wolności 4,4,46-380,Dobrodzień,Poland,50.7281778,18.4439061
Parafia Rzymskokatolicka Narodzenia Najświętszej Maryi Panny,Topolowa 14,14,42-772,Gwoździany,Poland,50.7248904,18.53263473095668
Parafia Rzymskokatolicka Świętego Józefa Robotnika,Kościelna 20,20,46-380,Turza,Poland,50.714354900000004,18.36492876778268
Parafia Rzymskokatolicka Podwyższenia Krzyża Świętego,Szkolna 1,1,46-048,Radawie,Poland,50.78554735,18.29108823353357
Parafia Rzymskokatolicka Trójcy Świętej,Cicha 2,2,46-380,Szemrowice,Poland,50.75411905,18.38719628227352
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Oleska 15,15,46-048,Zębowice,Poland,50.7627096,18.3417439
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Braci Bassy 40,40,46-233,Bąków,Poland,50.9684789,18.317084290942617
Parafia Rzymskokatolicka Chrystusa Króla,Kościelna 1,1,46-243,Bażany,Poland,50.9302941,18.1714455
Parafia Rzymskokatolicka Trójcy Świętej,Wolności 7a,7a,46-243,Bogacica,Poland,50.9681818,18.1327121
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Jana Pawła II 7,7,46-203,Kluczbork,Poland,50.9833486,18.216337498358982
Parafia Rzymskokatolicka Matki Bożej Wspomożenia Wiernych,Skłodowskiej-Curie 8,8,46-200,Kluczbork,Poland,50.970597749999996,18.219131998246297
Parafia Rzymskokatolicka Świętej Jadwigi Śląskiej,Krasków 64,64,46-200,Krasków,Poland,50.9573994,18.1856949
Parafia Rzymskokatolicka Wszystkich Świętych,Lasowice Wielkie 35,35,46-282,Lasowice Wielkie,Poland,50.86932109999999,18.22792599735751
Parafia Rzymskokatolicka Nawiedzenia Najświętszej Maryi Panny,Ks. Jana Rigola 68,68,46-211,Łowkowice,Poland,51.03955285,18.24543518403975
Parafia Rzymskokatolicka Wszystkich Świętych,Reymonta 54,54,47-341,Brożec,Poland,50.41566905,17.981846070497923
Parafia Rzymskokatolicka Świętego Jana Chrzciciela,Szkolna 7,7,47-364,Dobra,Poland,50.45037075,17.898172706095473
Parafia Rzymskokatolicka Nawiedzenia Najświętszej Maryi Panny,Kościelna 2,2,47-364,Komorniki,Poland,50.4334505,17.8996784
Parafia Rzymskokatolicka Świętego Mikołaja,Kościelna 8,8,47-300,Krapkowice,Poland,50.473917099999994,17.968808435625576
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Księdza Duszy 31,31,47-303,Krapkowice,Poland,50.486594600000004,17.96953248895979
Parafia Rzymskokatolicka Ducha Świętego,Maksymiliana Kolbe 1,1,47-303,Krapkowice-Otmęt,Poland,50.4939306,17.969108807847512
Parafia Rzymskokatolicka Świętego Jana Chrzciciela,Krapkowicka 36,36,47-320,Obrowiec,Poland,50.4606883,18.0298491
Parafia Rzymskokatolicka Świętej Marii Magdaleny,Plebiscytowa 5,5,47-364,Racławiczki,Poland,50.4689113,17.7947984
Parafia Rzymskokatolicka Świętych Apostołów Piotra i Pawła,Cmentarna 20,20,47-300,Steblów,Poland,50.4550198,17.9304259
Parafia Rzymskokatolicka Świętego Marcina,Kościelna 2,2,47-364,Strzeleczki,Poland,50.4593031,17.8534312
Parafia Rzymskokatolicka Świętego Floriana,Krapkowicka 63,63,47-300,Żywocice,Poland,50.4557561,17.9685387
Parafia Rzymskokatolicka Wniebowzięcia Najświętszej Maryi Panny,Adama Mickiewicza 8,8,47-400,Racibórz,Poland,50.091091500000005,18.22053402326106
Parafia Rzymskokatolicka Najświętszego Serca Pana Jezusa,Warszawska 29,29,47-400,Racibórz,Poland,50.0823176,18.2075261
Parafia Rzymskokatolicka Świętego Mikołaja,Kościelna 1,1,47-400,Racibórz,Poland,50.0985472,18.20978160418769
Parafia Rzymskokatolicka Matki Bożej,Jana Pawła II 6,6,47-400,Racibórz,Poland,50.08302985,18.194634606234253
Parafia Rzymskokatolicka Świętego Józefa,Gdańska 70,70,47-400,Racibórz,Poland,50.081529149999994,18.174701724468544
Parafia Rzymskokatolicka Świętego Jana Chrzciciela,Morawska 1,1,47-400,Racibórz,Poland,50.09803585,18.22334574964454
Parafia Rzymskokatolicka Świętego Paschalisa,Sudecka 27,27,47-400,Racibórz,Poland,50.08515695,18.232903713472453
Parafia Rzymskokatolicka Krzyża Świętego,Bogumińska 73,73,47-400,Racibórz,Poland,50.0711101,18.19485135870136
Parafia Rzymskokatolicka Świętej Jadwigi,Powstańców Śląskich 8,8,47-400,Racibórz,Poland,50.11197975,18.272449909792343
Parafia Rzymskokatolicka Świętej Katarzyny Aleksandryjskiej,Arcybiskupa Gawliny 3,3,47-411,Rudnik,Poland,50.126808249999996,18.185020920167403
Parafia Rzymskokatolicka Narodzenia Najświętszej Maryi Panny,Eichendorffa 22,22,47-417,Łubowice,Poland,50.1609287,18.2310749
Parafia Rzymskokatolicka Świętej Jadwigi Śląskiej i Świętego Jacka,Biskupice 93,93,46-324,Biskupice,Poland,50.6999788,19.2974598
Parafia Rzymskokatolicka Trójcy Świętej,Mała 4,4,46-310,Gorzów Śląski,Poland,51.02909235,18.422811772655834
Parafia Rzymskokatolicka Narodzenia Najświętszej Maryi Panny,Kościeliska 44,44,46-324,Kościeliska,Poland,51.1833022,20.4217431
Parafia Rzymskokatolicka Narodzenia Świętego Jana Chrzciciela,Kluczborska 3,3,46-310,Kozłowice,Poland,50.9818409,18.397577570281108
Parafia Rzymskokatolicka Świętego Mateusza,Sternalice 83,83,46-333,Sternalice,Poland,50.9695202,18.5658422
Parafia Rzymskokatolicka Świętego Michała Archanioła,Dolna 6,6,48-320,Chróścina,Poland,50.624038150000004,17.3669061473396
Parafia Rzymskokatolicka Matki Boskiej Różańcowej,Gnojna 113,113,49-200,Gnojna,Poland,51.9763717,20.5810413
